iter	RMSE
0	14.48108866
1	14.0324428
2	13.61665965
3	13.2336347
4	12.84805347
5	12.46690203
6	12.14995782
7	11.86562885
8	11.57129988
9	11.27127394
10	11.01459401
11	10.69553283
12	10.42656697
13	10.16382123
14	9.936151417
15	9.732871781
16	9.513977595
17	9.290266223
18	9.075230773
19	8.885798177
20	8.717619338
21	8.539952541
22	8.37284666
23	8.236264585
24	8.094806031
25	7.957330061
26	7.823925294
27	7.687005593
28	7.562601751
29	7.440021158
30	7.360131195
31	7.252306943
32	7.145639369
33	7.078824604
34	6.990698136
35	6.921174079
36	6.850970224
37	6.799834977
38	6.731399098
39	6.679386918
40	6.624463495
41	6.571204002
42	6.512952354
43	6.460138623
44	6.419953719
45	6.368812611
46	6.321223221
47	6.287961645
48	6.244334024
49	6.20347606
50	6.166135896
51	6.133345453
52	6.10232751
53	6.073068708
54	6.040754309
55	6.010078348
56	5.982959878
57	5.95447097
58	5.930690165
59	5.907848117
60	5.885673754
61	5.869032437
62	5.847001658
63	5.827972292
64	5.807752582
65	5.79011328
66	5.775065918
67	5.756570662
68	5.739761471
69	5.721781561
70	5.707344467
71	5.695971318
72	5.68024409
73	5.667513185
74	5.656373601
75	5.64288076
76	5.631486519
77	5.618945409
78	5.601782755
79	5.58935772
80	5.574773783
81	5.565095548
82	5.557159179
83	5.548322959
84	5.541272686
85	5.533336966
86	5.524278292
87	5.518215106
88	5.509741362
89	5.50416311
90	5.497560948
91	5.490215376
92	5.482296584
93	5.473652936
94	5.466510716
95	5.461294961
96	5.456894083
97	5.44727807
98	5.439417721
99	5.432024764
100	5.423855359
101	5.416902213
102	5.406820685
103	5.401130163
104	5.393280727
105	5.389344973
106	5.386276019
107	5.380721801
108	5.376064584
109	5.369739714
110	5.363702682
111	5.360426996
112	5.35512728
113	5.349273186
114	5.344926377
115	5.340306351
116	5.336378723
117	5.328783391
118	5.326076995
119	5.32251041
120	5.318355031
121	5.313827835
122	5.308703864
123	5.304962864
124	5.301489428
125	5.29889826
126	5.294611676
127	5.291514616
128	5.286356704
129	5.281352836
130	5.274672852
131	5.269421661
132	5.267113216
133	5.259861486
134	5.256114877
135	5.249360848
136	5.244045356
137	5.240754627
138	5.237801485
139	5.229194774
140	5.226314311
141	5.223903878
142	5.21879095
143	5.216130659
144	5.214940077
145	5.208901925
146	5.205715123
147	5.202044343
148	5.199845415
149	5.194120169
150	5.18824484
151	5.184832751
152	5.178666279
153	5.173148196
154	5.171389578
155	5.165174775
156	5.162818344
157	5.159864112
158	5.156872016
159	5.152048945
160	5.149496915
161	5.14459096
162	5.142734218
163	5.141222559
164	5.13967617
165	5.137837424
166	5.133144704
167	5.130700305
168	5.127198563
169	5.12198717
170	5.120487524
171	5.113743966
172	5.111172337
173	5.107820503
174	5.104546696
175	5.102792921
176	5.101787578
177	5.096203005
178	5.092953698
179	5.090963294
180	5.086919509
181	5.085524742
182	5.083889661
183	5.080222233
184	5.075386818
185	5.0719908
186	5.06385723
187	5.057584232
188	5.05701593
189	5.050629968
190	5.048354112
191	5.046330965
192	5.04537006
193	5.044293388
194	5.042972423
195	5.036639994
196	5.032127996
197	5.02992656
198	5.024355552
199	5.023810948
