iter	Passed	Remaining
0	146	146793
1	151	75444
2	156	51847
3	160	39997
4	165	32973
5	168	27855
6	171	24310
7	173	21528
8	175	19363
9	178	17635
10	180	16227
11	182	15050
12	185	14061
13	188	13246
14	190	12535
15	192	11839
16	193	11215
17	195	10661
18	197	10190
19	199	9759
20	200	9361
21	202	8990
22	203	8652
23	205	8347
24	206	8060
25	208	7797
26	209	7552
27	211	7331
28	212	7120
29	214	6927
30	215	6740
31	217	6565
32	218	6405
33	219	6250
34	221	6105
35	222	5968
36	224	5836
37	225	5716
38	227	5608
39	229	5497
40	230	5396
41	232	5299
42	233	5203
43	235	5110
44	236	5020
45	237	4935
46	239	4856
47	241	4785
48	242	4711
49	244	4639
50	245	4572
51	247	4505
52	248	4443
53	250	4382
54	251	4322
55	253	4265
56	254	4208
57	255	4155
58	257	4102
59	258	4051
60	260	4003
61	261	3956
62	262	3910
63	264	3865
64	265	3821
65	267	3779
66	268	3742
67	270	3702
68	271	3666
69	273	3629
70	274	3592
71	275	3556
72	277	3521
73	278	3487
74	280	3457
75	281	3425
76	283	3395
77	284	3365
78	286	3339
79	287	3311
80	289	3283
81	290	3250
82	291	3225
83	293	3199
84	294	3174
85	296	3151
86	297	3127
87	299	3103
88	300	3080
89	302	3056
90	303	3030
91	304	3008
92	306	2986
93	307	2965
94	308	2941
95	310	2923
96	312	2908
97	314	2892
98	315	2874
99	317	2856
100	318	2839
101	320	2824
102	322	2810
103	324	2794
104	325	2778
105	327	2763
106	329	2746
107	330	2730
108	332	2714
109	333	2700
110	335	2683
111	336	2668
112	337	2652
113	339	2637
114	341	2625
115	342	2611
116	344	2596
117	345	2582
118	346	2568
119	348	2555
120	349	2539
121	351	2527
122	353	2518
123	355	2509
124	356	2496
125	358	2483
126	359	2471
127	360	2458
128	362	2448
129	364	2436
130	365	2424
131	366	2413
132	368	2401
133	369	2389
134	371	2378
135	372	2366
136	373	2355
137	375	2345
138	376	2335
139	378	2324
140	379	2314
141	381	2304
142	382	2291
143	383	2281
144	385	2271
145	386	2261
146	388	2251
147	389	2241
148	390	2228
149	391	2219
150	393	2209
151	394	2200
152	395	2191
153	397	2182
154	398	2173
155	400	2164
156	401	2155
157	402	2147
158	404	2139
159	406	2131
160	407	2123
161	408	2114
162	410	2106
163	411	2097
164	412	2089
165	414	2081
166	415	2073
167	417	2066
168	418	2058
169	420	2050
170	421	2043
171	422	2035
172	424	2028
173	425	2020
174	427	2013
175	428	2005
176	429	1998
177	431	1991
178	433	1988
179	435	1982
180	436	1976
181	438	1970
182	439	1963
183	441	1957
184	443	1951
185	444	1946
186	446	1940
187	447	1933
188	449	1927
189	450	1920
190	452	1914
191	453	1908
192	455	1902
193	456	1898
194	458	1892
195	459	1886
196	461	1880
197	462	1873
198	463	1867
199	465	1861
200	467	1856
201	468	1851
202	470	1846
203	471	1841
204	473	1836
205	475	1832
206	477	1827
207	478	1822
208	480	1817
209	481	1812
210	483	1806
211	484	1801
212	485	1795
213	487	1790
214	488	1784
215	490	1779
216	491	1774
217	493	1768
218	494	1763
219	495	1758
220	497	1753
221	498	1748
222	500	1742
223	501	1737
224	503	1732
225	504	1727
226	505	1722
227	507	1717
228	508	1712
229	510	1707
230	511	1702
231	512	1697
232	514	1692
233	515	1687
234	516	1682
235	518	1678
236	519	1673
237	521	1669
238	522	1664
239	524	1659
240	525	1654
241	526	1650
242	528	1645
243	529	1640
244	531	1636
245	532	1631
246	533	1627
247	535	1622
248	536	1618
249	538	1614
250	539	1609
251	540	1605
252	542	1600
253	543	1596
254	545	1592
255	546	1589
256	548	1585
257	549	1581
258	551	1577
259	552	1572
260	554	1568
261	555	1564
262	556	1560
263	558	1556
264	559	1552
265	561	1550
266	563	1547
267	565	1544
268	567	1540
269	568	1536
270	569	1532
271	571	1529
272	573	1526
273	574	1523
274	576	1519
275	577	1515
276	579	1511
277	580	1507
278	582	1504
279	583	1500
280	584	1496
281	586	1492
282	587	1488
283	589	1485
284	590	1481
285	591	1477
286	593	1473
287	594	1470
288	596	1466
289	597	1462
290	598	1459
291	600	1455
292	601	1451
293	603	1448
294	604	1444
295	605	1441
296	607	1437
297	608	1433
298	610	1430
299	611	1426
300	612	1423
301	614	1419
302	615	1416
303	617	1413
304	618	1409
305	620	1406
306	621	1403
307	623	1399
308	624	1396
309	625	1392
310	627	1389
311	628	1385
312	629	1382
313	631	1379
314	632	1376
315	634	1373
316	635	1369
317	637	1366
318	638	1363
319	640	1360
320	641	1357
321	643	1353
322	644	1350
323	645	1347
324	647	1344
325	648	1340
326	649	1337
327	651	1334
328	652	1331
329	654	1329
330	656	1326
331	657	1323
332	659	1320
333	660	1317
334	662	1314
335	664	1312
336	665	1309
337	667	1306
338	668	1304
339	670	1302
340	672	1300
341	674	1297
342	675	1294
343	677	1291
344	678	1288
345	680	1285
346	681	1282
347	682	1279
348	684	1276
349	685	1273
350	687	1271
351	689	1269
352	691	1267
353	693	1265
354	695	1263
355	696	1260
356	698	1257
357	699	1254
358	701	1251
359	702	1248
360	703	1245
361	705	1243
362	706	1240
363	708	1237
364	709	1234
365	711	1231
366	712	1228
367	713	1226
368	715	1223
369	716	1220
370	718	1217
371	719	1214
372	721	1212
373	722	1209
374	724	1206
375	725	1204
376	727	1201
377	728	1198
378	729	1196
379	731	1193
380	732	1190
381	734	1187
382	735	1184
383	736	1182
384	738	1179
385	739	1176
386	741	1174
387	742	1171
388	744	1168
389	745	1166
390	746	1163
391	748	1160
392	749	1157
393	751	1155
394	752	1152
395	754	1150
396	755	1147
397	756	1144
398	758	1142
399	759	1139
400	761	1137
401	762	1134
402	763	1131
403	765	1129
404	767	1126
405	768	1124
406	769	1121
407	771	1119
408	772	1116
409	774	1113
410	775	1111
411	776	1108
412	778	1106
413	779	1103
414	781	1101
415	782	1098
416	784	1096
417	785	1093
418	786	1090
419	788	1088
420	789	1085
421	791	1083
422	792	1080
423	793	1078
424	795	1076
425	796	1073
426	798	1071
427	799	1068
428	801	1066
429	802	1063
430	804	1061
431	805	1058
432	806	1056
433	808	1054
434	810	1052
435	812	1050
436	814	1048
437	815	1046
438	816	1043
439	818	1041
440	820	1039
441	821	1037
442	824	1036
443	825	1033
444	826	1031
445	828	1028
446	829	1026
447	831	1024
448	832	1022
449	834	1019
450	835	1017
451	837	1015
452	838	1012
453	840	1010
454	841	1007
455	842	1005
456	844	1003
457	845	1000
458	847	999
459	849	996
460	850	994
461	851	991
462	853	989
463	854	987
464	856	984
465	857	982
466	858	980
467	860	977
468	861	975
469	863	973
470	864	971
471	866	969
472	867	966
473	869	964
474	870	962
475	872	960
476	873	957
477	874	955
478	876	953
479	877	950
480	879	948
481	880	946
482	881	943
483	883	941
484	884	939
485	886	937
486	887	934
487	889	932
488	890	930
489	891	928
490	893	926
491	894	923
492	896	921
493	897	919
494	898	916
495	900	914
496	901	912
497	903	910
498	904	908
499	906	906
500	907	903
501	909	901
502	910	899
503	912	897
504	913	895
505	914	893
506	916	890
507	917	888
508	919	886
509	920	884
510	921	882
511	923	880
512	925	878
513	926	876
514	928	874
515	930	872
516	931	870
517	933	868
518	935	866
519	936	864
520	938	862
521	939	860
522	941	858
523	942	856
524	943	854
525	945	851
526	947	850
527	949	848
528	951	846
529	952	844
530	954	842
531	955	840
532	957	838
533	959	837
534	960	835
535	962	832
536	963	830
537	965	828
538	966	826
539	967	824
540	969	822
541	970	820
542	972	818
543	973	816
544	975	814
545	976	812
546	978	810
547	979	808
548	981	805
549	982	803
550	983	801
551	985	799
552	986	797
553	988	795
554	989	793
555	990	791
556	992	789
557	993	787
558	995	785
559	996	783
560	998	781
561	999	779
562	1001	777
563	1002	775
564	1004	773
565	1005	771
566	1007	769
567	1008	767
568	1010	765
569	1011	763
570	1012	761
571	1014	758
572	1015	756
573	1017	755
574	1018	753
575	1020	751
576	1021	748
577	1023	746
578	1024	744
579	1025	742
580	1027	740
581	1028	738
582	1030	736
583	1031	734
584	1033	732
585	1034	730
586	1035	728
587	1037	726
588	1038	724
589	1040	722
590	1041	720
591	1043	718
592	1044	716
593	1045	714
594	1047	712
595	1048	710
596	1049	708
597	1051	706
598	1052	704
599	1054	702
600	1055	700
601	1057	698
602	1058	697
603	1060	694
604	1061	692
605	1062	691
606	1064	689
607	1065	687
608	1067	685
609	1068	683
610	1069	681
611	1071	679
612	1072	677
613	1074	675
614	1075	673
615	1077	671
616	1078	669
617	1080	667
618	1081	665
619	1083	664
620	1085	662
621	1086	660
622	1088	658
623	1089	656
624	1091	654
625	1093	653
626	1095	651
627	1096	649
628	1097	647
629	1099	645
630	1100	643
631	1101	641
632	1103	639
633	1104	637
634	1106	635
635	1107	633
636	1109	632
637	1110	630
638	1111	628
639	1113	626
