iter	RMSE
0	14.84446792
1	14.46461376
2	14.08356144
3	13.76122472
4	13.40512095
5	13.11764509
6	12.829417
7	12.55556066
8	12.27722972
9	11.96110188
10	11.68826995
11	11.4143586
12	11.16161234
13	10.90824409
14	10.66245423
15	10.43712973
16	10.21257693
17	9.986358719
18	9.812374603
19	9.63145044
20	9.439104289
21	9.279242351
22	9.123392488
23	8.9615524
24	8.79978127
25	8.643656926
26	8.499848438
27	8.354665633
28	8.219054168
29	8.096592875
30	7.976209376
31	7.873930248
32	7.770414926
33	7.669733762
34	7.556855812
35	7.453369132
36	7.36167075
37	7.272872434
38	7.186484258
39	7.111361993
40	7.027860665
41	6.962237773
42	6.886805094
43	6.825990157
44	6.754784389
45	6.680826179
46	6.620433699
47	6.561856802
48	6.501384459
49	6.443727808
50	6.399313255
51	6.35451169
52	6.298839583
53	6.251834368
54	6.212084792
55	6.167616362
56	6.123511181
57	6.082782435
58	6.037698374
59	6.001418862
60	5.963616894
61	5.925474027
62	5.899688483
63	5.871132711
64	5.834435706
65	5.798492647
66	5.768617673
67	5.742528674
68	5.717546827
69	5.698442071
70	5.678173836
71	5.657984552
72	5.638641982
73	5.612305873
74	5.591469499
75	5.569695803
76	5.551189053
77	5.534062313
78	5.521094224
79	5.502540223
80	5.48621846
81	5.467592429
82	5.451538061
83	5.435617341
84	5.424924282
85	5.405366384
86	5.398513695
87	5.384433385
88	5.372483712
89	5.357228171
90	5.343116322
91	5.334266944
92	5.323060539
93	5.312663268
94	5.30410396
95	5.293688408
96	5.282067299
97	5.268640475
98	5.25775543
99	5.244173691
100	5.235196234
101	5.222776224
102	5.213016981
103	5.203894646
104	5.192292653
105	5.182297199
106	5.172282309
107	5.160550496
108	5.150525218
109	5.139996959
110	5.12995012
111	5.119318632
112	5.113877682
113	5.108464871
114	5.104238066
115	5.098621139
116	5.092311886
117	5.085228463
118	5.077848521
119	5.074096372
120	5.067704833
121	5.059613627
122	5.053160629
123	5.047062223
124	5.044039778
125	5.036799782
126	5.02819724
127	5.023740484
128	5.018523963
129	5.014245003
130	5.009204806
131	5.005915162
132	4.998575273
133	4.990679679
134	4.986322884
135	4.983487837
136	4.97731346
137	4.971828124
138	4.969145706
139	4.962957777
140	4.960739946
141	4.957237978
142	4.951839748
143	4.94599963
144	4.942349504
145	4.938791504
146	4.936428554
147	4.930490855
148	4.928065157
149	4.924539696
150	4.921508705
151	4.917474129
152	4.916455066
153	4.914110951
154	4.90988386
155	4.904625823
156	4.897657915
157	4.893508327
158	4.889417863
159	4.885952356
160	4.881834284
161	4.877529116
162	4.8766531
163	4.873651398
164	4.867064922
165	4.864095162
166	4.859757135
167	4.855919529
168	4.851707174
169	4.847903011
170	4.843552026
171	4.840890902
172	4.835828788
173	4.833232778
174	4.829777672
175	4.824642514
176	4.819406518
177	4.819047871
178	4.812899359
179	4.80724706
180	4.804939563
181	4.800425642
182	4.79679804
183	4.792613286
184	4.790293271
185	4.786770565
186	4.783501113
187	4.780494109
188	4.776117527
189	4.773403354
190	4.771573816
191	4.768622047
192	4.764596284
193	4.760554823
194	4.757003873
195	4.751585358
196	4.748771241
197	4.744293033
198	4.741825103
199	4.740061665
200	4.736091331
201	4.733111198
202	4.728553553
203	4.725715236
204	4.722959127
205	4.719251429
206	4.714855323
207	4.710831638
208	4.710159645
209	4.706897976
210	4.700854857
211	4.699384829
212	4.695772076
213	4.689852869
214	4.685511683
215	4.680991584
216	4.676621159
217	4.67425592
218	4.669863493
219	4.66520724
220	4.660060925
221	4.656453799
222	4.652775408
223	4.649510469
224	4.647359622
225	4.645594805
226	4.64336796
227	4.639764214
228	4.637532473
229	4.634121092
230	4.628815619
231	4.624239011
232	4.621489867
233	4.618283853
234	4.612537012
235	4.61040108
236	4.604923069
237	4.603037025
238	4.599345668
239	4.595013386
240	4.592076501
241	4.590164429
242	4.58737433
243	4.583681417
244	4.579888461
245	4.576113666
246	4.573964695
247	4.570934068
248	4.569346675
249	4.564183535
250	4.562398121
251	4.556620657
252	4.552187337
253	4.550500867
254	4.548703148
255	4.545170017
256	4.542292379
257	4.540164098
258	4.538733043
259	4.534823029
260	4.532716009
261	4.527247844
262	4.521641098
263	4.519912927
264	4.51592312
265	4.513920857
266	4.511478677
267	4.507472091
268	4.504403218
269	4.502630325
270	4.500587006
271	4.497998145
272	4.49639192
273	4.491802998
274	4.49046994
