iter	Passed	Remaining
0	173	173678
1	177	88413
2	179	59594
3	181	45084
4	183	36485
5	188	31195
6	190	27055
7	193	23956
8	194	21467
9	196	19465
10	198	17853
11	201	16551
12	202	15389
13	204	14392
14	206	13527
15	207	12768
16	209	12102
17	211	11512
18	213	11040
19	215	10556
20	217	10118
21	218	9722
22	220	9361
23	221	9027
24	225	8804
25	228	8577
26	230	8323
27	233	8096
28	235	7875
29	237	7668
30	242	7585
31	244	7406
32	246	7229
33	248	7064
34	252	6954
35	254	6811
36	255	6661
37	257	6528
38	260	6411
39	262	6304
40	268	6272
41	270	6168
42	272	6057
43	273	5947
44	275	5841
45	276	5739
46	278	5648
47	281	5580
48	283	5493
49	284	5408
50	286	5329
51	288	5251
52	289	5173
53	294	5151
54	296	5101
55	298	5031
56	299	4962
57	301	4894
58	302	4830
59	304	4767
60	307	4732
61	309	4681
62	310	4625
63	312	4574
64	314	4521
65	315	4468
66	317	4417
67	318	4366
68	324	4373
69	325	4327
70	327	4287
71	329	4244
72	330	4201
73	332	4157
74	333	4117
75	337	4106
76	339	4068
77	340	4029
78	342	3992
79	346	3985
80	352	3997
81	354	3964
82	355	3931
83	357	3896
84	358	3859
85	360	3826
86	361	3789
87	365	3785
88	367	3760
89	369	3731
90	383	3833
91	385	3801
92	386	3772
93	388	3742
94	390	3722
95	392	3699
96	395	3684
97	397	3658
98	399	3634
99	400	3607
100	402	3581
101	403	3555
102	405	3530
103	407	3513
104	409	3490
105	411	3467
106	412	3443
107	414	3419
108	415	3396
109	417	3379
110	419	3363
111	421	3342
112	423	3322
113	424	3301
114	426	3282
115	428	3262
116	432	3260
117	434	3250
118	437	3240
119	439	3225
120	443	3222
121	446	3215
122	448	3200
123	450	3184
124	452	3167
125	454	3149
126	455	3131
127	456	3113
128	458	3095
129	461	3086
130	462	3069
131	464	3053
132	466	3040
133	467	3023
134	469	3008
135	470	2991
136	474	2987
137	475	2972
138	476	2952
139	478	2936
140	479	2918
141	480	2903
142	482	2888
143	483	2874
144	484	2859
145	489	2860
146	490	2847
147	492	2833
148	493	2819
149	495	2806
150	496	2793
151	498	2780
152	499	2764
153	503	2764
154	505	2753
155	506	2742
156	508	2729
157	509	2717
158	511	2704
159	512	2692
160	518	2701
161	521	2695
162	522	2681
163	523	2669
164	525	2657
165	526	2645
166	528	2633
167	531	2634
168	533	2624
169	551	2691
170	554	2686
171	556	2679
172	558	2668
173	561	2664
174	563	2655
175	564	2644
176	566	2632
177	567	2619
178	568	2608
179	570	2597
180	571	2586
181	573	2579
182	577	2580
183	579	2570
184	581	2560
185	583	2551
186	584	2542
187	586	2532
188	590	2532
189	591	2523
190	593	2513
191	594	2503
192	596	2493
193	598	2486
194	600	2477
195	603	2477
196	605	2468
197	607	2459
198	608	2449
199	610	2440
200	611	2431
201	613	2422
202	614	2413
203	617	2410
204	619	2402
205	621	2393
206	622	2384
207	624	2376
208	625	2368
209	627	2359
210	628	2350
211	632	2352
212	634	2344
213	636	2337
214	638	2331
215	640	2323
216	641	2314
217	643	2306
218	646	2304
219	647	2297
220	649	2289
221	651	2281
222	652	2274
223	654	2266
224	655	2258
225	657	2250
226	661	2252
227	662	2244
228	664	2236
229	665	2229
230	667	2221
231	668	2213
232	670	2206
233	671	2199
234	676	2203
235	679	2199
236	683	2200
237	686	2196
238	691	2202
239	694	2198
240	697	2196
241	700	2192
242	709	2211
243	712	2207
244	714	2202
245	719	2205
246	722	2202
247	724	2195
248	726	2191
249	732	2198
250	737	2200
251	740	2198
252	742	2193
253	744	2187
254	749	2188
255	752	2187
256	755	2183
257	757	2177
258	759	2172
259	764	2174
260	766	2170
261	768	2165
262	771	2160
263	773	2156
264	775	2151
265	778	2148
266	782	2147
267	784	2143
268	786	2138
269	790	2136
270	792	2132
271	794	2125
272	795	2119
273	797	2113
274	799	2107
275	801	2102
276	806	2103
277	807	2098
278	810	2093
279	811	2087
280	813	2082
281	815	2076
282	819	2075
283	822	2072
284	824	2069
285	829	2070
286	830	2063
287	834	2063
288	836	2057
289	837	2051
290	839	2045
291	840	2039
292	842	2032
293	844	2026
294	845	2020
295	848	2017
296	849	2011
297	851	2005
298	852	1999
299	854	1993
300	855	1987
301	857	1981
302	861	1981
303	863	1976
304	864	1970
305	866	1964
306	868	1960
307	869	1954
308	871	1948
309	875	1947
310	876	1942
311	878	1936
312	879	1930
313	881	1926
314	884	1923
315	888	1923
316	890	1919
317	892	1913
318	893	1908
319	895	1902
320	896	1897
321	898	1892
322	906	1899
323	907	1894
324	909	1889
325	911	1884
326	913	1879
327	914	1873
328	919	1874
329	920	1869
330	922	1863
331	923	1858
332	925	1852
333	926	1848
334	928	1843
335	931	1841
336	934	1838
337	936	1834
338	938	1829
339	940	1824
340	941	1819
341	942	1814
342	948	1816
343	951	1813
344	952	1808
345	954	1803
346	955	1798
347	957	1793
348	960	1791
349	962	1787
350	963	1782
351	965	1777
352	966	1772
353	968	1767
354	969	1762
355	971	1757
356	976	1759
357	978	1754
358	980	1750
359	984	1749
360	989	1752
361	992	1748
362	993	1744
363	995	1739
364	997	1734
365	998	1730
366	1000	1725
367	1004	1724
368	1005	1720
369	1007	1715
370	1009	1710
371	1010	1705
372	1011	1701
373	1013	1696
374	1014	1691
375	1018	1690
376	1020	1685
377	1021	1681
378	1023	1676
379	1024	1671
380	1026	1667
381	1027	1662
382	1029	1658
383	1033	1658
384	1035	1653
385	1036	1649
386	1038	1644
387	1039	1640
388	1041	1635
389	1042	1630
390	1046	1629
391	1048	1627
392	1050	1622
393	1051	1618
394	1053	1613
395	1054	1609
396	1056	1604
397	1061	1605
398	1066	1606
399	1068	1602
400	1069	1597
401	1071	1593
402	1072	1588
403	1075	1587
404	1077	1583
405	1079	1578
406	1080	1574
407	1082	1570
408	1084	1566
409	1094	1574
410	1098	1573
411	1100	1569
412	1101	1566
413	1104	1563
414	1107	1560
415	1108	1556
416	1110	1552
417	1112	1548
418	1113	1544
419	1114	1539
420	1119	1540
421	1121	1536
422	1123	1532
423	1124	1527
424	1126	1523
425	1127	1519
426	1129	1515
427	1130	1510
428	1134	1509
429	1135	1505
430	1137	1501
431	1138	1497
432	1140	1492
433	1141	1488
434	1143	1484
435	1147	1484
436	1149	1481
437	1151	1477
438	1152	1473
439	1154	1469
440	1156	1465
441	1157	1461
442	1161	1460
443	1163	1456
444	1164	1452
445	1166	1448
446	1167	1444
447	1169	1440
448	1170	1436
449	1172	1432
450	1176	1432
451	1178	1428
452	1180	1424
453	1181	1420
454	1184	1418
455	1186	1414
456	1189	1412
457	1191	1410
458	1193	1406
459	1194	1402
460	1196	1399
461	1198	1395
462	1199	1391
463	1203	1390
464	1206	1387
465	1207	1383
466	1209	1379
467	1210	1376
468	1211	1372
469	1213	1368
470	1214	1364
471	1218	1362
472	1220	1360
473	1222	1356
474	1224	1353
475	1225	1349
476	1227	1345
477	1228	1341
478	1230	1338
479	1232	1335
480	1234	1331
481	1235	1328
482	1237	1324
483	1238	1320
484	1240	1316
485	1241	1313
486	1244	1311
487	1247	1308
488	1250	1306
489	1252	1303
490	1254	1300
491	1255	1296
492	1256	1292
493	1268	1299
494	1272	1298
495	1274	1295
496	1276	1291
497	1278	1288
498	1279	1285
499	1281	1281
500	1282	1277
501	1284	1274
502	1287	1272
503	1288	1268
504	1290	1264
505	1291	1261
506	1293	1257
507	1294	1253
508	1296	1250
509	1298	1247
510	1301	1245
511	1303	1242
512	1305	1238
513	1306	1235
514	1308	1231
515	1309	1228
516	1314	1227
517	1316	1224
518	1317	1221
519	1319	1217
520	1320	1214
521	1322	1210
522	1323	1207
523	1325	1203
524	1328	1202
525	1330	1198
526	1331	1195
527	1333	1191
528	1334	1188
529	1336	1184
530	1337	1181
531	1339	1177
532	1343	1177
533	1345	1174
534	1347	1170
535	1348	1167
536	1350	1164
537	1351	1160
538	1353	1157
539	1356	1155
540	1358	1152
541	1360	1149
542	1361	1146
543	1363	1143
544	1365	1139
545	1366	1136
546	1368	1133
547	1370	1130
548	1372	1127
549	1373	1123
550	1375	1120
551	1376	1117
552	1377	1113
553	1379	1110
554	1382	1108
555	1384	1105
556	1385	1102
557	1387	1098
558	1388	1095
559	1390	1092
560	1391	1089
561	1393	1085
562	1397	1084
563	1399	1081
564	1400	1078
565	1402	1075
566	1403	1071
567	1404	1068
568	1406	1065
569	1407	1062
570	1411	1060
571	1412	1057
572	1414	1053
573	1415	1050
574	1417	1047
575	1418	1044
576	1420	1041
577	1421	1037
578	1425	1036
579	1428	1034
580	1430	1031
581	1432	1028
582	1433	1025
583	1435	1022
584	1436	1019
585	1440	1017
586	1442	1014
587	1443	1011
588	1446	1009
589	1448	1006
590	1456	1007
591	1458	1005
592	1460	1002
593	1462	999
594	1463	996
595	1465	993
596	1468	991
597	1470	988
598	1471	985
599	1473	982
600	1474	978
601	1475	975
602	1477	972
603	1479	970
604	1481	967
605	1483	964
606	1484	961
607	1486	958
608	1487	955
609	1489	952
610	1491	949
611	1494	947
612	1496	944
613	1497	941
614	1499	938
615	1500	935
616	1502	932
617	1503	929
618	1505	926
619	1510	925
620	1512	922
621	1513	919
622	1515	916
623	1516	913
624	1518	911
625	1520	908
626	1523	906
627	1525	903
628	1526	900
629	1528	897
630	1530	894
631	1532	892
632	1534	889
633	1538	888
634	1539	885
635	1541	882
636	1542	879
637	1544	876
638	1545	873
639	1547	870
640	1549	867
641	1552	865
642	1553	862
643	1555	859
644	1556	856
645	1558	854
646	1560	851
647	1562	848
648	1566	847
649	1567	844
650	1569	841
651	1570	838
652	1572	835
653	1573	832
654	1575	829
655	1577	826
656	1581	825
657	1582	822
658	1584	819
659	1585	816
660	1587	813
661	1588	811
662	1590	808
663	1591	805
664	1594	803
665	1596	800
666	1597	797
667	1599	794
668	1601	792
669	1602	789
670	1608	788
671	1610	786
672	1612	783
673	1613	780
674	1615	777
675	1616	774
676	1618	772
677	1620	769
678	1621	766
679	1623	764
680	1625	761
681	1629	759
682	1633	758
683	1636	756
684	1638	753
685	1640	750
686	1641	747
687	1643	745
688	1646	743
689	1648	740
690	1649	737
691	1651	734
692	1652	732
693	1654	729
694	1655	726
695	1657	724
696	1660	721
697	1661	718
698	1663	716
699	1664	713
700	1666	710
701	1667	707
702	1668	705
703	1673	703
704	1676	701
705	1677	698
706	1679	695
707	1680	693
708	1682	690
709	1683	687
710	1686	685
711	1688	683
712	1690	680
713	1691	677
714	1693	674
715	1694	672
716	1696	669
717	1697	666
718	1701	665
719	1703	662
720	1705	659
721	1706	657
722	1708	654
723	1709	651
724	1711	649
725	1712	646
726	1716	644
727	1718	641
728	1719	639
729	1721	636
730	1723	634
731	1725	631
732	1726	628
733	1731	627
734	1733	624
735	1734	622
736	1736	619
737	1737	616
738	1739	614
739	1740	611
740	1744	609
741	1745	606
742	1747	604
743	1748	601
744	1750	599
745	1752	596
746	1753	593
747	1755	591
748	1757	588
749	1758	586
750	1760	583
751	1761	581
752	1763	578
753	1764	575
754	1766	573
755	1767	570
756	1772	568
757	1773	566
758	1775	563
759	1776	561
760	1778	558
761	1779	555
762	1781	553
763	1788	552
764	1790	550
765	1792	547
766	1793	544
767	1795	542
768	1799	540
769	1801	538
770	1803	535
771	1805	533
772	1807	530
773	1818	531
774	1821	528
775	1822	526
776	1824	523
777	1826	521
778	1828	518
779	1830	516
780	1832	513
781	1834	511
782	1836	508
783	1838	506
784	1842	504
785	1845	502
786	1846	499
787	1848	497
788	1849	494
789	1851	492
790	1852	489
791	1854	486
792	1857	484
793	1860	482
794	1861	480
795	1863	477
796	1864	474
797	1866	472
798	1867	469
799	1871	467
800	1873	465
801	1875	462
802	1876	460
803	1878	457
804	1879	455
805	1881	452
806	1882	450
807	1887	448
808	1888	445
809	1890	443
810	1892	440
811	1894	438
812	1895	436
813	1897	433
814	1903	432
815	1905	429
816	1907	427
817	1909	424
818	1910	422
819	1914	420
820	1916	417
821	1918	415
822	1919	412
823	1921	410
824	1923	407
825	1924	405
826	1929	403
827	1931	401
828	1933	398
829	1934	396
830	1936	393
831	1938	391
832	1940	388
833	1943	386
834	1945	384
835	1947	382
836	1948	379
837	1950	377
838	1951	374
839	1953	372
840	1954	369
841	1960	367
842	1961	365
843	1963	362
844	1964	360
845	1966	357
846	1967	355
847	1969	352
848	1974	351
849	1977	348
850	1978	346
851	1980	343
852	1981	341
853	1983	339
854	1988	337
855	1989	334
856	1991	332
857	1993	329
858	1995	327
859	1996	325
860	2004	323
861	2007	321
862	2009	318
863	2010	316
864	2012	314
865	2017	312
866	2018	309
867	2020	307
868	2022	304
869	2023	302
870	2025	300
871	2027	297
872	2029	295
873	2031	292
874	2033	290
875	2034	288
876	2036	285
877	2037	283
878	2039	280
879	2040	278
880	2046	276
881	2048	274
882	2049	271
883	2051	269
884	2053	266
885	2055	264
886	2060	262
887	2062	260
888	2063	257
889	2065	255
890	2066	252
891	2068	250
892	2069	248
893	2075	246
894	2076	243
895	2078	241
896	2080	238
897	2081	236
898	2084	234
899	2088	232
900	2090	229
901	2091	227
902	2092	224
903	2094	222
904	2096	220
905	2097	217
906	2099	215
907	2101	212
908	2103	210
909	2104	208
910	2105	205
911	2107	203
912	2108	200
913	2110	198
914	2113	196
915	2115	194
916	2117	191
917	2118	189
918	2120	186
919	2121	184
920	2123	182
921	2124	179
922	2128	177
923	2130	175
924	2132	172
925	2133	170
926	2135	168
927	2136	165
928	2138	163
929	2139	161
930	2142	158
931	2144	156
932	2146	154
933	2148	151
934	2149	149
935	2151	147
936	2152	144
937	2158	142
938	2160	140
939	2161	137
940	2164	135
941	2166	133
942	2167	131
943	2170	128
944	2172	126
945	2174	124
946	2175	121
947	2177	119
948	2179	117
949	2186	115
950	2189	112
951	2191	110
952	2193	108
953	2195	105
954	2196	103
955	2199	101
956	2202	98
957	2204	96
958	2205	94
959	2207	91
960	2208	89
961	2210	87
962	2214	85
963	2216	82
964	2217	80
965	2219	78
966	2220	75
967	2222	73
968	2223	71
969	2225	68
970	2229	66
971	2230	64
972	2232	61
973	2233	59
974	2235	57
975	2236	54
976	2238	52
977	2239	50
978	2245	48
979	2246	45
980	2248	43
981	2249	41
982	2251	38
983	2252	36
984	2254	34
985	2257	32
986	2259	29
987	2261	27
988	2262	25
989	2264	22
990	2266	20
991	2267	18
992	2271	16
993	2273	13
994	2275	11
995	2276	9
996	2277	6
997	2279	4
998	2280	2
999	2282	0
